"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cote d'Ivoire","CIV","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89","","","4.1","","","","","7.22","9.69","9.61","8.54","7.61","7.38","6.65","6.65","7.57","7.23","7.07","6.74","6.74","6.44","8.37","8.74","10.28","10.34","8.24","8.15","","",
"Cameroon","CMR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","14.54","","","","","","13.49","13.9","14.27","14.27","14.45","13.81","13.31","13.3","11.89","13.3","12.74","11.93","13.28","12.9","","","","","15.7","","","",
"Congo, Dem. Rep.","COD","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.65","","","11.26","11.57","11.07","12.04","11.03","","","","10.19","","","","","10.83","8.4","","",
"Congo, Rep.","COG","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.35","","","15.19","","","","11.89","11.89","11.79","11.79","11.93","11.79","15.79","15.76","15.76","15.76","15.76","","16.21","16.14","11.82","","","","","","","",
"Colombia","COL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.45","10.55","","11.64","12.21","11.19","11.31","11.18","10.69","10.98","10.83","11.28","11.06","11.39","11.42","12.01","12.27","11.62","11.13","11.82","8.99","7.65","7.18","7","6.54","6.98","9.83","7.9","7.8","7.09","","",
"Comoros","COM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.93","","6.39","6.39","6.5","6.72","8.21","7.71","","11.05","7.72","4.59","4.84","","",
"Cabo Verde","CPV","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.75","13.19","12.23","12.23","11.93","11.05","10.3","10.6","10.89","","10.89","","","","11.55","12.27","","",
"Costa Rica","CRI","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.81","9.04","9.06","7.36","5.25","4.59","4.44","4.23","4.47","4.58","4.14","4.08","4.21","4.39","3.76","3.86","4.09","4.17","4.1","4.4","","5.25","","5.47","5.25","5.44","","",
"Caribbean small states","CSS","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.06","","","8.88","8.82","8.88","8.78","8.45","9.15","8.79","9.01","8.53","8.22","10.09","10.05","10.05","10.1","10.16","9.57","9.6","9.04","","9.81","9.54","9.18","","10.06","10.45","","",
